FL, B15, B30, B45, B60, B75, A90, A75, A60, A45, A30, A15, FR, vel-10, vel-9, vel-8, vel-7, vel-6, vel-5, vel-4, vel-3, vel-2, vel-1, steering_angle, throttle, brake
2.194613, 2.271496, 2.537077, 3.098963, 4.376476, 8.430874, 22.492960, 6.624506, 3.418535, 2.394963, 1.847710, 1.585624, 1.479265, 12.121895, 13.469368, 14.878652, 16.353616, 17.899177, 19.530992, 21.119053, 22.864634, 24.455670, 26.368464, -0.028040, 1.000000, -0.000000
2.177852, 2.250174, 2.508094, 3.055142, 4.294138, 8.166549, 21.930738, 6.859948, 3.492359, 2.455533, 1.932974, 1.654900, 1.541013, 13.469368, 14.878652, 16.353616, 17.899177, 19.530992, 21.119053, 22.864634, 24.455670, 26.368464, 27.983255, -0.027468, 1.000000, -0.000000
2.158183, 2.225798, 2.475707, 3.007350, 4.206721, 7.899152, 21.346331, 7.124928, 3.575342, 2.501050, 2.027172, 1.731342, 1.609088, 14.878652, 16.353616, 17.899177, 19.530992, 21.119053, 22.864634, 24.455670, 26.368464, 27.983255, 30.109684, -0.026026, 1.000000, -0.000000
2.135663, 2.198521, 2.440163, 2.955832, 4.114849, 7.630426, 20.749767, 7.421602, 3.667608, 2.551992, 2.068762, 1.813728, 1.682353, 16.353616, 17.899177, 19.530992, 21.119053, 22.864634, 24.455670, 26.368464, 27.983255, 30.109684, 31.547093, -0.024614, 1.000000, -0.000000
2.110375, 2.168685, 2.402256, 2.902313, 4.022379, 7.374243, 20.146229, 7.735235, 3.765607, 2.606864, 2.107280, 1.868915, 1.761845, 17.899177, 19.530992, 21.119053, 22.864634, 24.455670, 26.368464, 27.983255, 30.109684, 31.547093, 34.001159, -0.022886, 1.000000, -0.000000
2.082370, 2.136042, 2.361188, 2.845005, 3.924959, 7.112960, 19.539005, 8.089840, 3.874326, 2.667551, 2.149884, 1.902524, 1.820037, 19.530992, 21.119053, 22.864634, 24.455670, 26.368464, 27.983255, 30.109684, 31.547093, 34.001159, 35.183875, -0.021404, 0.972656, -0.000000
2.052394, 2.101695, 2.318650, 2.786639, 3.827941, 6.863628, 18.947660, 8.463558, 3.988003, 2.731319, 2.194893, 1.938294, 1.850979, 21.119053, 22.864634, 24.455670, 26.368464, 27.983255, 30.109684, 31.547093, 34.001159, 35.183875, 40.011300, -0.019782, 0.937499, -0.000000
2.020550, 2.065831, 2.275039, 2.727882, 3.732965, 6.630554, 18.368059, 8.844823, 4.104078, 2.797051, 2.241772, 1.975883, 1.883850, 22.864634, 24.455670, 26.368464, 27.983255, 30.109684, 31.547093, 34.001159, 35.183875, 40.011300, 37.516192, -0.018147, 0.929686, -0.000000
1.986559, 2.028080, 2.229714, 2.667830, 3.637698, 6.405718, 17.792732, 9.243546, 4.224929, 2.865932, 2.291160, 2.015745, 1.918929, 24.455670, 26.368464, 27.983255, 30.109684, 31.547093, 34.001159, 35.183875, 40.011300, 37.516192, 37.605192, -0.015719, 0.933593, -0.000000
1.951037, 1.989185, 2.183686, 2.607758, 3.544573, 6.194789, 17.226326, 9.357478, 4.346981, 2.936118, 2.341907, 2.056985, 1.955533, 26.368464, 27.983255, 30.109684, 31.547093, 34.001159, 35.183875, 40.011300, 37.516192, 37.605192, 38.821210, -0.011480, 0.933593, -0.000000
1.915808, 1.951404, 2.139882, 2.551936, 3.460807, 6.016047, 16.684992, 9.250217, 4.458305, 3.001791, 2.390309, 2.097017, 1.991622, 27.983255, 30.109684, 31.547093, 34.001159, 35.183875, 40.011300, 37.516192, 37.605192, 38.821210, 39.688297, -0.007549, 0.933593, -0.000000
1.881137, 1.914854, 2.098307, 2.500058, 3.385431, 5.864406, 16.162727, 9.110569, 4.558326, 3.062754, 2.436146, 2.135536, 2.026879, 30.109684, 31.547093, 34.001159, 35.183875, 40.011300, 37.516192, 37.605192, 38.821210, 39.688297, 40.595484, -0.003604, 0.937499, -0.000000
1.847552, 1.880107, 2.059529, 2.452777, 3.318960, 5.739626, 15.657754, 8.937260, 4.644980, 3.117773, 2.478585, 2.171913, 2.060749, 31.547093, 34.001159, 35.183875, 40.011300, 37.516192, 37.605192, 38.821210, 39.688297, 40.595484, 41.522116, 0.000226, 0.972656, -0.000000
1.815853, 1.847955, 2.024473, 2.411216, 3.263181, 5.645060, 15.170732, 8.726401, 4.714150, 3.164841, 2.516284, 2.205101, 2.092384, 34.001159, 35.183875, 40.011300, 37.516192, 37.605192, 38.821210, 39.688297, 40.595484, 41.522116, 42.418396, 0.003599, 1.000000, -0.000000
